Date,Viral Activity Level
1/1/2022,16.86
1/8/2022,23.77
1/15/2022,23.11
1/22/2022,19.33
1/29/2022,14.04
2/5/2022,9.19
2/12/2022,5.83
2/19/2022,3.72
2/26/2022,2.47
3/5/2022,1.62
3/12/2022,1.35
3/19/2022,1.13
3/26/2022,1.23
4/2/2022,1.17
4/9/2022,1.53
4/16/2022,2.02
4/23/2022,3.05
4/30/2022,3.87
5/7/2022,4.97
5/14/2022,5.56
5/21/2022,6.61
5/28/2022,7.15
6/4/2022,7.01
6/11/2022,6.73
6/18/2022,6.63
6/25/2022,7.11
7/2/2022,7.81
7/9/2022,9.15
7/16/2022,8.72
7/23/2022,9.32
7/30/2022,8.8
8/6/2022,7.89
8/13/2022,7.27
8/20/2022,6.79
8/27/2022,6.37
9/3/2022,5.69
9/10/2022,5.45
9/17/2022,5.01
9/24/2022,4.52
10/1/2022,3.71
10/8/2022,3.33
10/15/2022,3.32
10/22/2022,3.32
10/29/2022,3.91
11/5/2022,4
11/12/2022,4
11/19/2022,4.52
11/26/2022,5.28
12/3/2022,8.34
12/10/2022,8.4
12/17/2022,8.91
12/24/2022,9.38
12/31/2022,10.52
1/7/2023,8.21
1/14/2023,5.93
1/21/2023,5.59
1/28/2023,5.77
2/4/2023,6.13
2/11/2023,6.07
2/18/2023,6.24
2/25/2023,5.79
3/4/2023,5.13
3/11/2023,4.37
3/18/2023,4.54
3/25/2023,4.53
4/1/2023,3.42
4/8/2023,2.9
4/15/2023,2.71
4/22/2023,2.12
4/29/2023,1.86
5/6/2023,1.98
5/13/2023,1.93
5/20/2023,1.66
5/27/2023,1.53
6/3/2023,1.27
6/10/2023,1.12
6/17/2023,1.14
6/24/2023,1.13
7/1/2023,1.3
7/8/2023,1.52
7/15/2023,1.67
7/22/2023,1.95
7/29/2023,2.41
8/5/2023,2.82
8/12/2023,3.67
8/19/2023,3.95
8/26/2023,4.42
9/2/2023,5.08
9/9/2023,5.61
9/16/2023,5.1
9/23/2023,4.69
9/30/2023,4.46
10/7/2023,3.78
10/14/2023,3.31
10/21/2023,3.38
10/28/2023,3.53
11/4/2023,3.67
11/11/2023,4.06
11/18/2023,4.73
11/25/2023,5.31
12/2/2023,6.95
12/9/2023,7.67
12/16/2023,8.95
12/23/2023,10.61
12/30/2023,12.66
1/6/2024,11.67
1/13/2024,9.06
1/20/2024,7.48
1/27/2024,7.17
2/3/2024,6.05
2/10/2024,6
2/17/2024,5.71
2/24/2024,5.39
3/2/2024,4.52
3/9/2024,3.55
3/16/2024,2.65
3/23/2024,2.21
3/30/2024,2.04
4/6/2024,1.86
4/13/2024,1.57
4/20/2024,1.38
4/27/2024,1.23
5/4/2024,1.16
